"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C4,C5,C6,C15","6","0.1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C2,C7,C11,C12","4","4.7u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C8,C9,C10,C13,C14,C16","6","1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1","1","TVS_Uni","","","","PCM_Diode_SMD_Handsoldering_AKL:D_SOD-123F",""
"D2","1","USBLC6-2SC6","","","","PCM_Package_TO_SOT_SMD_AKL:SOT-23-6","https://www.tme.eu/Document/db59d28d28a96c34f26d05f234ff409c/USBLC6-2.pdf"
"F1","1","Polyfuse_S","","","","Fuse:Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder",""
"FB1","1","Ferrite_Bead","","","","PCM_Ferrite_SMD_Handsoldering_AKL:Ferrite_0805_2012Metric",""
"J1","1","USB C Receptacle","","","","Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","3.5mm Jack","","","","Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal","https://www.lcsc.com/datasheet/C521460.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.5.xh&lcsc_vid=RlJbVVBRFAALUwZTT1deVgBSRVlbUQAAR1ZXVQUCE1kxVlNeQ1dWVlBeRFJZXjsOAxUeFF5JWBYZEEoBGA4JCwFIFA4DSA%3D%3D"
"R1","1","0","","","","Resistor_SMD:R_0805_2012Metric",""
"R2,R3","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric",""
"R4,R5,R8,R10","4","10k, 1%","","","","Resistor_SMD:R_0805_2012Metric",""
"R6,R7,R9,R11","4","15k, 1%","","","","Resistor_SMD:R_0805_2012Metric",""
"TP1","1","VBUS","","","","TestPoint:TestPoint_Pad_D1.5mm",""
"TP2","1","+5V","","","","TestPoint:TestPoint_Pad_D1.5mm",""
"TP3","1","+5V_Analog","","","","TestPoint:TestPoint_Pad_D1.5mm",""
"TP4","1","3.6V","","","","TestPoint:TestPoint_Pad_D1.5mm",""
"TP5","1","1.8V","","","","TestPoint:TestPoint_Pad_D1.5mm",""
"TP6","1","3.3V","","","","TestPoint:TestPoint_Pad_D1.5mm",""
"U1","1","CM108B","","","","PCM_Package_QFP_AKL:LQFP-48_7x7mm_P0.5mm","https://www.micros.com.pl/mediaserver/info-uicm108b.pdf"
"U2","1","MAXIM MAX97220AETE+T","","","","Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm","https://www.analog.com/media/en/technical-documentation/data-sheets/max97220a-max97220e.pdf"
