JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：bom-JLCPCB Assembly Order.xlsx,,,Download Time：2026-07-26 05:52:38,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：33.1043,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C1,C15,C3,C4,C5,C6",,0.1u,0805,,Unconfirmed,CC0805KRX7R9BB104,YAGEO,0805,100nF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (CC0805KRX7R9BB104) of this part does not match the one (0.1u) provided in your BOM. Please confirm;,C49678,https://jlcpcb.com/partdetail/YAGEO-CC0805KRX7R9BB104/C49678,Basic,40,40 JLCPCB,1.284
"C10,C13,C14,C16,C8,C9",,1u,0805,,Unconfirmed,CL21B105KBFNNNE,Samsung Electro-Mechanics,0805,1uF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (CL21B105KBFNNNE) of this part does not match the one (1u) provided in your BOM. Please confirm;,C28323,https://jlcpcb.com/partdetail/29074-CL21B105KBFNNNE/C28323,Basic,40,40 JLCPCB,3.46
"C11,C12,C2,C7",,4.7u,0805,,Unconfirmed,CL21A475KAQNNNE,Samsung Electro-Mechanics,0805,25V 4.7uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (CL21A475KAQNNNE) of this part does not match the one (4.7u) provided in your BOM. Please confirm;,C1779,https://jlcpcb.com/partdetail/2131-CL21A475KAQNNNE/C1779,Basic,30,30 JLCPCB,1.506
D1,,TVS_Uni,D_SOD-123F,,Select by Customer,M4SMF15CA,Slkor(SLKORMICRO Elec.),SOD-123FL,15V 18.5V 180A@8/20us 1uA 26V 500pF Bidirectional TVS SOD-123FL ESD and Surge Protection (TVS/ESD) ROHS,,,C46061815,https://jlcpcb.com/partdetail/Slkor_SLKORMICRO_Elec-M4SMF15CA/C46061815,Extended,15,15 JLCPCB,0.624
D2,,USBLC6-2SC6,SOT-23-6,,Select by System,USBLC6-2SC6,TECH PUBLIC,SOT-23-6,-55℃~+125℃ 0.35pF 12V 150W 2 5V 6A 6V 80nA ESD IEC 61000-4-2、IEC 61000-4-5、IEC 61000-4-4 Unidirectional SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS,ESD And Surge Protection (TVS/ESD),,C2827654,https://jlcpcb.com/partdetail/TECHPUBLIC-USBLC62SC6/C2827654,Extended,9,9 JLCPCB,0.3978
F1,,Polyfuse_S,2920,,Select by Customer,2920L500/6GR,LUTE,2920,-40℃~+85℃ 1.6mm 10A 2.5W 31mΩ 40A 5.44mm 5A 5mΩ 5s 6V 7.98mm 2920 Resettable Fuses ROHS,Resettable Fuses,,C19193059,https://jlcpcb.com/partdetail/LUTE-2920L5006GR/C19193059,Extended,5,5 JLCPCB,0.744
FB1,,Ferrite_Bead,Ferrite_0805_2012Metric,,Select by Customer,ZECB201209A121-4A000,ZE,0805,1 120Ω@100MHz 4A 50mΩ ±25% 0805 Ferrite Beads ROHS,Inductors (SMD),,C2943443,https://jlcpcb.com/partdetail/ZE-ZECB201209A1214A000/C2943443,Extended,20,20 JLCPCB,0.89
J1,,USBCReceptacle,USB_C_Receptacle_XKB_U262-16XN-4BVC11,,Select by Customer,HX TYPE-C 16PIN,hanxia,SMD,"-30℃~+80℃ 1 1.68mm 16P 20V 3A 5,000 times 7.35mm Black Female Surface Mount, Right Angle Type-C USB 3.1 SMD USB Connectors ROHS",USB Connectors,,C5178539,https://jlcpcb.com/partdetail/hanxia-HX_TYPE_C16PIN/C5178539,Extended,5,5 JLCPCB,0.375
J2,,3.5mmJack,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,,Select by Customer,PJ-320B,SOFNG,SMD,-25℃~+75℃ 24V 25mA 3.5mm Headphone Jack Phosphor Bronze SMD Audio Connectors ROHS,Audio Connectors (Headphones),,C22355831,https://jlcpcb.com/partdetail/SOFNG-PJ320B/C22355831,Extended,5,5 JLCPCB,0.2455
R1,,0,0805,,Unconfirmed,0805W8F0000T5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 0Ω 125mW 150V Thick Film Resistor ±1% ±800ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0805W8F0000T5E) of this part does not match the one (0) provided in your BOM. Please confirm;,C17477,https://jlcpcb.com/partdetail/18165-0805W8F0000T5E/C17477,Basic,20,20 JLCPCB,0.2
"R2,R3",,5.1k,0805,,Unconfirmed,0805W8F5101T5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 125mW 150V 5.1kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0805W8F5101T5E) of this part does not match the one (5.1k) provided in your BOM. Please confirm;,C27834,https://jlcpcb.com/partdetail/28584-0805W8F5101T5E/C27834,Basic,20,20 JLCPCB,0.27
"R10,R4,R5,R8",,"10k,1%",0805,,Unconfirmed,FRC0805F1002TS,FOJAN,0805,-55℃~+155℃ 10kΩ 125mW 150V Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,"1.The comment (FRC0805F1002TS) of this part does not match the one (10k,1%) provided in your BOM. Please confirm;",C2907219,https://jlcpcb.com/partdetail/FOJAN-FRC0805F1002TS/C2907219,Extended,30,30 JLCPCB,0.12
"R11,R6,R7,R9",,"15k,1%",0805,,Unconfirmed,FRC0805F1502TS,FOJAN,0805,-55℃~+155℃ 125mW 150V 15kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,"1.The comment (FRC0805F1502TS) of this part does not match the one (15k,1%) provided in your BOM. Please confirm;",C2930170,https://jlcpcb.com/partdetail/FOJAN-FRC0805F1502TS/C2930170,Extended,30,30 JLCPCB,0.129
U1,,CM108B,LQFP-48_7x7mm_P0.5mm,,Select by System,CM108B,Cmedia,LQFP-48(7x7),-20℃~+70℃ 4.5V~5.5V 44.1kHz~48kHz Encoder/decoder I2S、USB LQFP-48(7x7) Audio Interface ICs ROHS,Audio Interface ICs,,C371347,https://jlcpcb.com/partdetail/Cmedia-CM108B/C371347,Extended,5,5 JLCPCB,16.2815
U2,,MAXIMMAX97220AETE+T,QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm,,Select by Customer,MAX97220AETE+T,Analog Devices Inc./Maxim Integrated,QFN-16-EP(3x3),-40℃~+85℃ 0.0035% 112.5dB 125mWx2@32Ω 2-Channel 2.5V~5.5V 7mA 90dB Automatic mute/no-noise switch、Enable/disable function QFN-16-EP(3x3) Audio Amplifiers ROHS,Audio Amplifiers,,C2682711,https://jlcpcb.com/partdetail/2777742-MAX97220AETET/C2682711,Extended,5,5 JLCPCB,6.5775
TP1,,VBUS,TestPoint_Pad_D1.5mm,,No matches,No Part Selected,,,,,,,,,,,
TP2,,+5V,TestPoint_Pad_D1.5mm,,No matches,No Part Selected,,,,,,,,,,,
TP3,,+5V_Analog,TestPoint_Pad_D1.5mm,,No matches,No Part Selected,,,,,,,,,,,
TP4,,3.6V,TestPoint_Pad_D1.5mm,,No matches,No Part Selected,,,,,,,,,,,
TP5,,1.8V,TestPoint_Pad_D1.5mm,,No matches,No Part Selected,,,,,,,,,,,
TP6,,3.3V,TestPoint_Pad_D1.5mm,,No matches,No Part Selected,,,,,,,,,,,
"_3,_2",,,,,No matches,No Part Selected,,,,,,,,,,,
