Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
"C1, C15, C3, C4, C5, C6",0805,6,0.1u,
"C10, C13, C14, C16, C8, C9",0805,6,1u,
"C11, C12, C2, C7",0805,4,4.7u,
D1,D_SOD-123F,1,TVS_Uni,
D2,SOT-23-6,1,USBLC6-2SC6,
F1,2920,1,Polyfuse_S,
FB1,Ferrite_0805_2012Metric,1,Ferrite_Bead,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB C Receptacle,
J2,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,3.5mm Jack,
R1,0805,1,0,
"R10, R4, R5, R8",0805,4,"10k, 1%",
"R11, R6, R7, R9",0805,4,"15k, 1%",
"R2, R3",0805,2,5.1k,
TP1,TestPoint_Pad_D1.5mm,1,VBUS,
TP2,TestPoint_Pad_D1.5mm,1,+5V,
TP3,TestPoint_Pad_D1.5mm,1,+5V_Analog,
TP4,TestPoint_Pad_D1.5mm,1,3.6V,
TP5,TestPoint_Pad_D1.5mm,1,1.8V,
TP6,TestPoint_Pad_D1.5mm,1,3.3V,
U1,LQFP-48_7x7mm_P0.5mm,1,CM108B,
U2,QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm,1,MAXIM MAX97220AETE+T,
