Designator,Mid X,Mid Y,Rotation,Layer
_3,128.6,-116.65,0.0,top
_2,171.3,-116.4,0.0,top
,171.5,-72.2,0.0,top
C1,147.0,-85.0,270.0,top
C10,149.5,-107.5,180.0,top
C11,161.0,-104.0,270.0,top
C12,164.5,-103.9625,270.0,top
C13,162.0,-116.5,0.0,top
C14,157.0,-105.5,270.0,top
C15,139.3,-97.6,180.0,top
C16,162.0,-114.5,180.0,top
C2,143.1,-79.0,90.0,top
C3,159.0,-92.5,90.0,top
C4,157.0,-101.5,270.0,top
C5,161.0,-95.5,0.0,top
C6,166.5,-99.5,0.0,top
C7,166.1,-87.15,180.0,top
C8,150.0,-115.5,0.0,top
C9,150.0,-112.0,90.0,top
D1,136.5,-83.5,0.0,top
D2,138.1,-91.45,270.0,top
F1,137.0,-78.65,0.0,top
FB1,161.0,-89.5,0.0,top
J1,128.0,-89.5,270.0,top
J2,139.4,-112.3,180.0,top
R1,127.0,-97.15,90.0,top
R10,157.5,-115.5,270.0,top
R11,154.0,-115.5,270.0,top
R2,137.0,-87.0,0.0,top
R3,133.5,-97.0,270.0,top
R4,160.5,-108.0,90.0,top
R5,164.5,-108.0,90.0,top
R6,154.6,-118.4,0.0,top
R7,148.1,-119.6,0.0,top
R8,154.0,-105.0,180.0,top
R9,150.0,-105.0,180.0,top
TP1,128.0,-81.0,0.0,top
TP2,145.5,-76.5,0.0,top
TP3,166.6,-90.65,0.0,top
TP4,153.0,-90.0,0.0,top
TP5,142.5,-97.5,0.0,top
TP6,139.2,-99.9,90.0,top
U1,150.5,-98.0,270.0,top
U2,154.0625,-110.75,90.0,top
